card_no,card_id,code,title,suit_name,is_joker,release_status,website_route,igo_asset_type,david_mode,content_status,content_severity,visual_severity,visual_action,clean_source_required,alt_text,original_jpg,webp_large,webp_medium,webp_thumb
16,bps1-s01,S01,Homer,The Scholar,False,CONDITIONAL,/bitpoints/series-1/s01-homer,Scholar Mentor,Mentor,CORRECT,MEDIUM,LOW,RETOUCH,False,Homer — An elderly bearded man with white eyes and a laurel wreath plays a lyre in the foreground.,assets/jpg/original/16_s01_homer.jpg,assets/webp/large/16_s01_homer.webp,assets/webp/medium/16_s01_homer.webp,assets/webp/thumb/16_s01_homer.webp
17,bps1-s02,S02,Confucius,The Scholar,False,CONDITIONAL,/bitpoints/series-1/s02-confucius,Scholar Mentor,Mentor,APPROVED,PASS,MEDIUM,RETOUCH,False,"Confucius — A bearded figure in traditional robes stands holding a wooden staff, gesturing toward open scrolls scattered on a stone courtyard.",assets/jpg/original/17_s02_confucius.jpg,assets/webp/large/17_s02_confucius.webp,assets/webp/medium/17_s02_confucius.webp,assets/webp/thumb/17_s02_confucius.webp
18,bps1-s03,S03,Sun Tzu,The Scholar,False,READY,/bitpoints/series-1/s03-sun-tzu,Scholar Mentor,Mentor,APPROVED,PASS,PASS,APPROVE,False,"Sun Tzu — A central figure in ornate, metallic blue armor stands holding a rolled scroll in one hand and resting the other on a sheathed sword.",assets/jpg/original/18_s03_sun-tzu.jpg,assets/webp/large/18_s03_sun-tzu.webp,assets/webp/medium/18_s03_sun-tzu.webp,assets/webp/thumb/18_s03_sun-tzu.webp
19,bps1-s04,S04,Aristotle,The Scholar,False,READY,/bitpoints/series-1/s04-aristotle,Scholar Mentor,Mentor,APPROVED,PASS,PASS,APPROVE,False,"Aristotle — A bearded man in ancient Greek robes stands holding a scroll, surrounded by glowing geometric diagrams.",assets/jpg/original/19_s04_aristotle.jpg,assets/webp/large/19_s04_aristotle.webp,assets/webp/medium/19_s04_aristotle.webp,assets/webp/thumb/19_s04_aristotle.webp
20,bps1-s05,S05,Sima Qian,The Scholar,False,CONDITIONAL,/bitpoints/series-1/s05-sima-qian,Scholar Mentor,Mentor,APPROVED,PASS,MEDIUM,RETOUCH_AND_CROP,True,"Sima Qian — An elderly scholar with a topknot and beard sits at a wooden desk illuminated by a candle, writing on a bamboo slip with a brush.",assets/jpg/original/20_s05_sima-qian.jpg,assets/webp/large/20_s05_sima-qian.webp,assets/webp/medium/20_s05_sima-qian.webp,assets/webp/thumb/20_s05_sima-qian.webp
21,bps1-s06,S06,Marco Polo,The Scholar,False,READY,/bitpoints/series-1/s06-marco-polo,Scholar Mentor,Mentor,APPROVED,PASS,PASS,APPROVE,False,"Marco Polo — A man riding a camel in a desert landscape, leading a caravan.",assets/jpg/original/21_s06_marco-polo.jpg,assets/webp/large/21_s06_marco-polo.webp,assets/webp/medium/21_s06_marco-polo.webp,assets/webp/thumb/21_s06_marco-polo.webp
22,bps1-s07,S07,Imhotep,The Scholar,False,CONDITIONAL,/bitpoints/series-1/s07-imhotep,Scholar Mentor,Mentor,APPROVED,PASS,MEDIUM,RETOUCH_AND_CROP,True,"Imhotep — A bearded figure in ancient Egyptian attire stands in the foreground, holding a scroll and looking toward a large step pyramid under construction.",assets/jpg/original/22_s07_imhotep.jpg,assets/webp/large/22_s07_imhotep.webp,assets/webp/medium/22_s07_imhotep.webp,assets/webp/thumb/22_s07_imhotep.webp
23,bps1-s08,S08,Vitruvius,The Scholar,False,CONDITIONAL,/bitpoints/series-1/s08-vitruvius,Scholar Mentor,Mentor,APPROVED,PASS,MEDIUM,RETOUCH_AND_CROP,True,Vitruvius — A bearded man in classical robes stands holding a compass and a set square.,assets/jpg/original/23_s08_vitruvius.jpg,assets/webp/large/23_s08_vitruvius.webp,assets/webp/medium/23_s08_vitruvius.webp,assets/webp/thumb/23_s08_vitruvius.webp
24,bps1-s09,S09,Al-Jazari,The Scholar,False,CONDITIONAL,/bitpoints/series-1/s09-al-jazari,Scholar Mentor,Mentor,CLARIFY,LOW,MEDIUM,RETOUCH,False,"Al-Jazari — A bearded man in a turban and apron stands in a workshop filled with gears and blueprints, pointing towards an elephant and a humanoid robot.",assets/jpg/original/24_s09_al-jazari.jpg,assets/webp/large/24_s09_al-jazari.webp,assets/webp/medium/24_s09_al-jazari.webp,assets/webp/thumb/24_s09_al-jazari.webp
25,bps1-s10,S10,Da Vinci,The Scholar,False,CONDITIONAL,/bitpoints/series-1/s10-da-vinci,Scholar Mentor,Mentor,APPROVED,PASS,MEDIUM,RETOUCH_AND_CROP,True,Da Vinci — Leonardo da Vinci sits at a wooden desk writing on parchment with a quill.,assets/jpg/original/25_s10_da-vinci.jpg,assets/webp/large/25_s10_da-vinci.webp,assets/webp/medium/25_s10_da-vinci.webp,assets/webp/thumb/25_s10_da-vinci.webp
26,bps1-s11,S11,Brunel,The Scholar,False,CONDITIONAL,/bitpoints/series-1/s11-brunel,Scholar Mentor,Mentor,APPROVED,PASS,MEDIUM,RETOUCH,False,Brunel — A portrait of a bearded man in a top hat and dark coat holding a cigar in the foreground.,assets/jpg/original/26_s11_brunel.jpg,assets/webp/large/26_s11_brunel.webp,assets/webp/medium/26_s11_brunel.webp,assets/webp/thumb/26_s11_brunel.webp
27,bps1-s12,S12,Tesla,The Scholar,False,CONDITIONAL,/bitpoints/series-1/s12-tesla,Scholar Mentor,Mentor,APPROVED,PASS,LOW,CROP,True,Tesla — A portrait of Nikola Tesla in a suit is centered amidst crackling blue lightning.,assets/jpg/original/27_s12_tesla.jpg,assets/webp/large/27_s12_tesla.webp,assets/webp/medium/27_s12_tesla.webp,assets/webp/thumb/27_s12_tesla.webp
28,bps1-sj1,SJ1,The Polymath,The Scholar,True,READY,/bitpoints/series-1/sj1-the-polymath,Knowledge Synthesis Wildcard,Synthesist,APPROVED,PASS,PASS,APPROVE,False,"The Polymath — A hooded figure stands in the center of a grand library, holding a glowing orb.",assets/jpg/original/28_sj1_the-polymath.jpg,assets/webp/large/28_sj1_the-polymath.webp,assets/webp/medium/28_sj1_the-polymath.webp,assets/webp/thumb/28_sj1_the-polymath.webp
29,bps1-sj2,SJ2,East-West Bridge,The Scholar,True,CONDITIONAL,/bitpoints/series-1/sj2-east-west-bridge,Knowledge Bridge Wildcard,Translator,APPROVED,PASS,LOW,CROP,True,East-West Bridge — A stone bridge connects an eastern-style city with pagodas on the left to a western-style city with classical domes and columns on the right.,assets/jpg/original/29_sj2_east-west-bridge.jpg,assets/webp/large/29_sj2_east-west-bridge.webp,assets/webp/medium/29_sj2_east-west-bridge.webp,assets/webp/thumb/29_sj2_east-west-bridge.webp
30,bps1-sj3,SJ3,The Living Library,The Scholar,True,CONDITIONAL,/bitpoints/series-1/sj3-the-living-library,Living Library Wildcard,Archivist,APPROVED,PASS,LOW,CROP,True,"The Living Library — A vast, ancient library with towering bookshelves filled with books.",assets/jpg/original/30_sj3_the-living-library.jpg,assets/webp/large/30_sj3_the-living-library.webp,assets/webp/medium/30_sj3_the-living-library.webp,assets/webp/thumb/30_sj3_the-living-library.webp
31,bps1-b01,B01,The Pyramid,The Blueprint,False,CONDITIONAL,/bitpoints/series-1/b01-the-pyramid,Engineering Build Card,Engineer,APPROVED,PASS,MEDIUM,RETOUCH,False,"The Pyramid — A large pyramid under construction in a desert landscape, featuring a glowing cross-sectional architectural diagram overlaid on its surface.",assets/jpg/original/31_b01_the-pyramid.jpg,assets/webp/large/31_b01_the-pyramid.webp,assets/webp/medium/31_b01_the-pyramid.webp,assets/webp/thumb/31_b01_the-pyramid.webp
32,bps1-b02,B02,The Aqueduct,The Blueprint,False,HOLD,/bitpoints/series-1/b02-the-aqueduct,Engineering Build Card,Engineer,CORRECT,HIGH,MEDIUM,RETOUCH_AND_CROP,True,"The Aqueduct — A multi-tiered Roman aqueduct spans a river valley under a warm, sunset-lit sky.",assets/jpg/original/32_b02_the-aqueduct.jpg,assets/webp/large/32_b02_the-aqueduct.webp,assets/webp/medium/32_b02_the-aqueduct.webp,assets/webp/thumb/32_b02_the-aqueduct.webp
33,bps1-b03,B03,The Great Wall,The Blueprint,False,CONDITIONAL,/bitpoints/series-1/b03-the-great-wall,Engineering Build Card,Engineer,APPROVED,PASS,MEDIUM,RETOUCH,False,"The Great Wall — The Great Wall of China winds along rugged mountain ridges at sunset, with beacon towers emitting fire and smoke.",assets/jpg/original/33_b03_the-great-wall.jpg,assets/webp/large/33_b03_the-great-wall.webp,assets/webp/medium/33_b03_the-great-wall.webp,assets/webp/thumb/33_b03_the-great-wall.webp
34,bps1-b04,B04,The Roman Road,The Blueprint,False,READY,/bitpoints/series-1/b04-the-roman-road,Engineering Build Card,Engineer,APPROVED,PASS,PASS,APPROVE,False,The Roman Road — A Roman legion and ox-drawn wagons march along a paved stone road stretching into a vast landscape.,assets/jpg/original/34_b04_the-roman-road.jpg,assets/webp/large/34_b04_the-roman-road.webp,assets/webp/medium/34_b04_the-roman-road.webp,assets/webp/thumb/34_b04_the-roman-road.webp
35,bps1-b05,B05,The Silk Road,The Blueprint,False,CONDITIONAL,/bitpoints/series-1/b05-the-silk-road,Engineering Build Card,Engineer,APPROVED,PASS,MEDIUM,RETOUCH,False,The Silk Road — A caravan of camels travels along a desert path toward a walled city at sunset.,assets/jpg/original/35_b05_the-silk-road.jpg,assets/webp/large/35_b05_the-silk-road.webp,assets/webp/medium/35_b05_the-silk-road.webp,assets/webp/thumb/35_b05_the-silk-road.webp
36,bps1-b06,B06,The Canal Lock,The Blueprint,False,HOLD,/bitpoints/series-1/b06-the-canal-lock,Engineering Build Card,Engineer,APPROVED,PASS,HIGH,REBUILD,False,"The Canal Lock — A traditional wooden boat is passing through a canal lock with rushing water, surrounded by stone walls and mechanical gears.",assets/jpg/original/36_b06_the-canal-lock.jpg,assets/webp/large/36_b06_the-canal-lock.webp,assets/webp/medium/36_b06_the-canal-lock.webp,assets/webp/thumb/36_b06_the-canal-lock.webp
37,bps1-b07,B07,The Steam Engine,The Blueprint,False,HOLD,/bitpoints/series-1/b07-the-steam-engine,Engineering Build Card,Engineer,APPROVED,PASS,HIGH,RETOUCH_AND_CROP,True,"The Steam Engine — A large, ornate steam engine sits in a sunlit industrial workshop, featuring a prominent flywheel, a walking beam, and a centrifugal governor.",assets/jpg/original/37_b07_the-steam-engine.jpg,assets/webp/large/37_b07_the-steam-engine.webp,assets/webp/medium/37_b07_the-steam-engine.webp,assets/webp/thumb/37_b07_the-steam-engine.webp
38,bps1-b08,B08,The Railway Bridge,The Blueprint,False,CONDITIONAL,/bitpoints/series-1/b08-the-railway-bridge,Engineering Build Card,Engineer,APPROVED,PASS,MEDIUM,RETOUCH,False,The Railway Bridge — A massive red steel cantilever bridge spans across choppy waters under a dramatic sunset sky.,assets/jpg/original/38_b08_the-railway-bridge.jpg,assets/webp/large/38_b08_the-railway-bridge.webp,assets/webp/medium/38_b08_the-railway-bridge.webp,assets/webp/thumb/38_b08_the-railway-bridge.webp
39,bps1-b09,B09,The Power Grid,The Blueprint,False,CONDITIONAL,/bitpoints/series-1/b09-the-power-grid,Engineering Build Card,Engineer,UPDATE,MEDIUM,MEDIUM,RETOUCH,False,The Power Grid — A sweeping landscape view showing a power generation facility with cooling towers connected to a distant city via transmission lines.,assets/jpg/original/39_b09_the-power-grid.jpg,assets/webp/large/39_b09_the-power-grid.webp,assets/webp/medium/39_b09_the-power-grid.webp,assets/webp/thumb/39_b09_the-power-grid.webp
40,bps1-b10,B10,The Skyscraper,The Blueprint,False,READY,/bitpoints/series-1/b10-the-skyscraper,Engineering Build Card,Engineer,APPROVED,PASS,PASS,APPROVE,False,"The Skyscraper — A towering skyscraper under construction dominates the centre, set against a city skyline at dusk.",assets/jpg/original/40_b10_the-skyscraper.jpg,assets/webp/large/40_b10_the-skyscraper.webp,assets/webp/medium/40_b10_the-skyscraper.webp,assets/webp/thumb/40_b10_the-skyscraper.webp
41,bps1-b11,B11,The Satellite,The Blueprint,False,HOLD,/bitpoints/series-1/b11-the-satellite,Engineering Build Card,Engineer,APPROVED,PASS,HIGH,RETOUCH_AND_CROP,True,"The Satellite — The artwork depicts several satellites orbiting Earth, connected by orange data link beams to ground stations and each other.",assets/jpg/original/41_b11_the-satellite.jpg,assets/webp/large/41_b11_the-satellite.webp,assets/webp/medium/41_b11_the-satellite.webp,assets/webp/thumb/41_b11_the-satellite.webp
42,bps1-b12,B12,The Internet,The Blueprint,False,CONDITIONAL,/bitpoints/series-1/b12-the-internet,Engineering Build Card,Engineer,UPDATE,MEDIUM,LOW,RELABEL,False,"The Internet — The artwork depicts a glowing Earth with network connections above turbulent ocean waves, while below the surface, thick fibre optic cables connect to submerged data center servers.",assets/jpg/original/42_b12_the-internet.jpg,assets/webp/large/42_b12_the-internet.webp,assets/webp/medium/42_b12_the-internet.webp,assets/webp/thumb/42_b12_the-internet.webp
43,bps1-bj1,BJ1,The Master Plan,The Blueprint,True,CONDITIONAL,/bitpoints/series-1/bj1-the-master-plan,Planning Wildcard,Planner,APPROVED,PASS,MEDIUM,RETOUCH_AND_CROP,True,The Master Plan — A wooden desk covered with multiple rolled and unrolled architectural blueprints.,assets/jpg/original/43_bj1_the-master-plan.jpg,assets/webp/large/43_bj1_the-master-plan.webp,assets/webp/medium/43_bj1_the-master-plan.webp,assets/webp/thumb/43_bj1_the-master-plan.webp
44,bps1-bj2,BJ2,Form & Function,The Blueprint,True,CONDITIONAL,/bitpoints/series-1/bj2-form-function,Design Review Wildcard,Design Reviewer,APPROVED,PASS,MEDIUM,RETOUCH,False,"Form & Function — The image shows a split scene with raw industrial construction on the left featuring steel I-beams, gears, and sparks.",assets/jpg/original/44_bj2_form-and-function.jpg,assets/webp/large/44_bj2_form-and-function.webp,assets/webp/medium/44_bj2_form-and-function.webp,assets/webp/thumb/44_bj2_form-and-function.webp
45,bps1-bj3,BJ3,The Unbuilt,The Blueprint,True,HOLD,/bitpoints/series-1/bj3-the-unbuilt,Speculative Design Wildcard,Futures Engineer,REBUILD_DETAIL,HIGH,HIGH,REBUILD_DETAIL,False,The Unbuilt — A glowing blueprint-style collage of unbuilt or conceptual engineering projects floats against a dark starry background.,assets/jpg/original/45_bj3_the-unbuilt.jpg,assets/webp/large/45_bj3_the-unbuilt.webp,assets/webp/medium/45_bj3_the-unbuilt.webp,assets/webp/thumb/45_bj3_the-unbuilt.webp
46,bps1-e01,E01,Stone Age,The Epoch,False,READY,/bitpoints/series-1/e01-stone-age,Epoch Scenario,Historian,APPROVED,PASS,PASS,APPROVE,False,"Stone Age — A group of early humans is gathered around a fire in a cave, crafting stone tools.",assets/jpg/original/46_e01_stone-age.jpg,assets/webp/large/46_e01_stone-age.webp,assets/webp/medium/46_e01_stone-age.webp,assets/webp/thumb/46_e01_stone-age.webp
47,bps1-e02,E02,Bronze Age,The Epoch,False,READY,/bitpoints/series-1/e02-bronze-age,Epoch Scenario,Historian,APPROVED,PASS,PASS,APPROVE,False,"Bronze Age — A bustling ancient Mesopotamian city is depicted along a river, featuring a large ziggurat in the background.",assets/jpg/original/47_e02_bronze-age.jpg,assets/webp/large/47_e02_bronze-age.webp,assets/webp/medium/47_e02_bronze-age.webp,assets/webp/thumb/47_e02_bronze-age.webp
48,bps1-e03,E03,Iron Age,The Epoch,False,CONDITIONAL,/bitpoints/series-1/e03-iron-age,Epoch Scenario,Historian,APPROVED,PASS,LOW,RETOUCH,False,"Iron Age — Roman soldiers construct a palisade and stone road in the foreground, with various iron tools and weapons scattered nearby.",assets/jpg/original/48_e03_iron-age.jpg,assets/webp/large/48_e03_iron-age.webp,assets/webp/medium/48_e03_iron-age.webp,assets/webp/thumb/48_e03_iron-age.webp
49,bps1-e04,E04,Classical Era,The Epoch,False,CONDITIONAL,/bitpoints/series-1/e04-classical-era,Epoch Scenario,Historian,APPROVED,PASS,MEDIUM,RETOUCH,False,Classical Era — A vibrant scene in ancient Greece with philosophers speaking to a crowd and architects working on blueprints at a table.,assets/jpg/original/49_e04_classical-era.jpg,assets/webp/large/49_e04_classical-era.webp,assets/webp/medium/49_e04_classical-era.webp,assets/webp/thumb/49_e04_classical-era.webp
50,bps1-e05,E05,Silk Road Era,The Epoch,False,READY,/bitpoints/series-1/e05-silk-road-era,Epoch Scenario,Historian,APPROVED,PASS,PASS,APPROVE,False,Silk Road Era — A bustling ancient marketplace features diverse merchants trading textiles and spices.,assets/jpg/original/50_e05_silk-road-era.jpg,assets/webp/large/50_e05_silk-road-era.webp,assets/webp/medium/50_e05_silk-road-era.webp,assets/webp/thumb/50_e05_silk-road-era.webp
51,bps1-e06,E06,Islamic Golden Age,The Epoch,False,CONDITIONAL,/bitpoints/series-1/e06-islamic-golden-age,Epoch Scenario,Historian,CORRECT,MEDIUM,MEDIUM,RETOUCH,False,"Islamic Golden Age — Scholars in traditional attire are gathered in a grand library, studying books and discussing scientific concepts.",assets/jpg/original/51_e06_islamic-golden-age.jpg,assets/webp/large/51_e06_islamic-golden-age.webp,assets/webp/medium/51_e06_islamic-golden-age.webp,assets/webp/thumb/51_e06_islamic-golden-age.webp
52,bps1-e07,E07,Renaissance,The Epoch,False,READY,/bitpoints/series-1/e07-renaissance,Epoch Scenario,Historian,APPROVED,PASS,PASS,APPROVE,False,"Renaissance — The artwork depicts the construction of a massive dome in a Renaissance city, alongside scenes of an artist sketching designs and a printer operating a press.",assets/jpg/original/52_e07_renaissance.jpg,assets/webp/large/52_e07_renaissance.webp,assets/webp/medium/52_e07_renaissance.webp,assets/webp/thumb/52_e07_renaissance.webp
53,bps1-e08,E08,Age of Exploration,The Epoch,False,READY,/bitpoints/series-1/e08-age-of-exploration,Epoch Scenario,Historian,APPROVED,PASS,PASS,APPROVE,False,"Age of Exploration — The artwork depicts a bustling harbor with galleons setting sail into the ocean under a bright, sunlit sky.",assets/jpg/original/53_e08_age-of-exploration.jpg,assets/webp/large/53_e08_age-of-exploration.webp,assets/webp/medium/53_e08_age-of-exploration.webp,assets/webp/thumb/53_e08_age-of-exploration.webp
54,bps1-e09,E09,Industrial Revolution,The Epoch,False,CONDITIONAL,/bitpoints/series-1/e09-industrial-revolution,Epoch Scenario,Historian,CANON_ALIGN,MEDIUM,PASS,APPROVE,False,"Industrial Revolution — A bustling industrial cityscape at sunset, featuring steam locomotives, glowing furnaces, and numerous smoking factory chimneys.",assets/jpg/original/54_e09_industrial-revolution.jpg,assets/webp/large/54_e09_industrial-revolution.webp,assets/webp/medium/54_e09_industrial-revolution.webp,assets/webp/thumb/54_e09_industrial-revolution.webp
55,bps1-e10,E10,Electrical Age,The Epoch,False,CONDITIONAL,/bitpoints/series-1/e10-electrical-age,Epoch Scenario,Historian,CORRECT,MEDIUM,MEDIUM,RETOUCH,False,"Electrical Age — Two historical figures, likely Nikola Tesla and Thomas Edison, flank a scene of early electrical infrastructure.",assets/jpg/original/55_e10_electrical-age.jpg,assets/webp/large/55_e10_electrical-age.webp,assets/webp/medium/55_e10_electrical-age.webp,assets/webp/thumb/55_e10_electrical-age.webp
56,bps1-e11,E11,Space Age,The Epoch,False,CONDITIONAL,/bitpoints/series-1/e11-space-age,Epoch Scenario,Historian,APPROVED,PASS,MEDIUM,RETOUCH,False,"Space Age — A composite scene showing a Saturn V rocket launching from a pad on the left, with Mars rovers on a Martian-like surface on the right.",assets/jpg/original/56_e11_space-age.jpg,assets/webp/large/56_e11_space-age.webp,assets/webp/medium/56_e11_space-age.webp,assets/webp/thumb/56_e11_space-age.webp
57,bps1-e12,E12,Digital Age,The Epoch,False,READY,/bitpoints/series-1/e12-digital-age,Epoch Scenario,Historian,APPROVED,PASS,PASS,APPROVE,False,"Digital Age — A glowing, futuristic digital highway winds through a technological landscape featuring computers, mobile phones, and floating holographic displays.",assets/jpg/original/57_e12_digital-age.jpg,assets/webp/large/57_e12_digital-age.webp,assets/webp/medium/57_e12_digital-age.webp,assets/webp/thumb/57_e12_digital-age.webp
58,bps1-ej1,EJ1,Timeline,The Epoch,True,CONDITIONAL,/bitpoints/series-1/ej1-timeline,Timeline Wildcard,Time Navigator,APPROVED,PASS,MEDIUM,RELABEL_AND_CROP,True,"Timeline — A spiraling parchment scroll serves as the backdrop for a series of interconnected, glowing orbs, each depicting a different architectural era or epoch.",assets/jpg/original/58_ej1_timeline.jpg,assets/webp/large/58_ej1_timeline.webp,assets/webp/medium/58_ej1_timeline.webp,assets/webp/thumb/58_ej1_timeline.webp
