card_no,card_id,code,title,release_status,voice_profile,spoken_text,target_audio_path,status
11,bps1-r11,R11,The Orbit Relay,READY,"Warm, human, measured, slightly theatrical neural English voice","The Orbit Relay. Relay 11 of 12 — The Civilisational Relay. Orbit made infrastructure planetary. GPS, weather satellites, and the International Space Station — humanity built infrastructure beyond the atmosphere. The view from orbit revealed Earth as a single connected system.",/assets/audio/series-1/bps1-r11.mp3,READY_FOR_NEURAL_TTS
12,bps1-r12,R12,Human Nodes,READY,"Warm, human, measured, slightly theatrical neural English voice","Human Nodes. Relay 12 of 12 — The Civilisational Relay. Human Nodes — the final relay. Infrastructure becomes consciousness. The torus architecture maps 12,000 years of knowledge onto a single chip. Every relay, every master, every scholar converges here.",/assets/audio/series-1/bps1-r12.mp3,READY_FOR_NEURAL_TTS
13,bps1-rj1,RJ1,Use of Spies,HOLD,"Warm, human, measured, slightly theatrical neural English voice","Use of Spies. Chapter XIII — Sun Tzu. Chapter 13: The Use of Spies. Reconnaissance. Surveying. Intelligence. The spy sees what others cannot — every relay, every system, every weakness. Sun Tzu mapped warfare onto infrastructure. The Joker connects all 12.",/assets/audio/series-1/bps1-rj1.mp3,WAITING_FOR_APPROVED_COPY
14,bps1-rj2,RJ2,Mirror Table,HOLD,"Warm, human, measured, slightly theatrical neural English voice",Mirror Table. THE MIRROR INVERSION. A Civil Engineer's Perspective — Learnings for the Survival Guide,/assets/audio/series-1/bps1-rj2.mp3,WAITING_FOR_APPROVED_COPY
15,bps1-rj3,RJ3,Side Mirror,HOLD,"Warm, human, measured, slightly theatrical neural English voice",Side Mirror. None. A Civil Engineer's Perspective — Learnings for the Survival Guide,/assets/audio/series-1/bps1-rj3.mp3,WAITING_FOR_APPROVED_COPY
16,bps1-s01,S01,Homer,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice","Homer. The Iliad & The Odyssey. The first storyteller of infrastructure. Homer mapped the supply lines, siege works, and naval logistics of civilisation's first great war.",/assets/audio/series-1/bps1-s01.mp3,WAITING_FOR_APPROVED_COPY
17,bps1-s02,S02,Confucius,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice",Confucius. The Analects. Order begins with education. Confucius built the governance framework that sustained empires for two millennia.,/assets/audio/series-1/bps1-s02.mp3,WAITING_FOR_APPROVED_COPY
18,bps1-s03,S03,Sun Tzu,READY,"Warm, human, measured, slightly theatrical neural English voice","Sun Tzu. The Art of War. Every infrastructure project is a campaign. Sun Tzu wrote the manual for terrain, logistics, and strategic positioning.",/assets/audio/series-1/bps1-s03.mp3,READY_FOR_NEURAL_TTS
19,bps1-s04,S04,Aristotle,READY,"Warm, human, measured, slightly theatrical neural English voice",Aristotle. Politics & Physics. The first systems thinker. Aristotle classified the natural world and laid the foundations for engineering science.,/assets/audio/series-1/bps1-s04.mp3,READY_FOR_NEURAL_TTS
20,bps1-s05,S05,Sima Qian,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice","Sima Qian. Records of the Grand Historian. History is infrastructure. Sima Qian recorded the roads, canals, and walls that built an empire.",/assets/audio/series-1/bps1-s05.mp3,WAITING_FOR_APPROVED_COPY
21,bps1-s06,S06,Marco Polo,READY,"Warm, human, measured, slightly theatrical neural English voice","Marco Polo. The Travels. The first infrastructure auditor. Marco Polo documented the bridges, roads, and postal systems of the Mongol Empire.",/assets/audio/series-1/bps1-s06.mp3,READY_FOR_NEURAL_TTS
22,bps1-s07,S07,Imhotep,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice","Imhotep. First Engineer. Before engineers had a name, Imhotep built the first monumental stone structure in human history.",/assets/audio/series-1/bps1-s07.mp3,WAITING_FOR_APPROVED_COPY
23,bps1-s08,S08,Vitruvius,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice","Vitruvius. De Architectura. Firmitas, Utilitas, Venustas. Vitruvius codified the trinity that governs every structure ever built.",/assets/audio/series-1/bps1-s08.mp3,WAITING_FOR_APPROVED_COPY
24,bps1-s09,S09,Al-Jazari,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice",Al-Jazari. Book of Ingenious Devices. The father of robotics. Al-Jazari engineered the mechanical systems that bridged ancient craft and modern automation.,/assets/audio/series-1/bps1-s09.mp3,WAITING_FOR_APPROVED_COPY
25,bps1-s10,S10,Da Vinci,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice","Da Vinci. The Codex. Infrastructure imagined before its time. Da Vinci designed bridges, canals, and machines centuries ahead of construction.",/assets/audio/series-1/bps1-s10.mp3,WAITING_FOR_APPROVED_COPY
26,bps1-s11,S11,Brunel,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice","Brunel. The Great Engineer. Railways, bridges, tunnels, ships. Brunel built the infrastructure that powered the British Empire.",/assets/audio/series-1/bps1-s11.mp3,WAITING_FOR_APPROVED_COPY
27,bps1-s12,S12,Tesla,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice",Tesla. AC Power. The man who lit the world. Tesla's alternating current became the backbone of global power infrastructure.,/assets/audio/series-1/bps1-s12.mp3,WAITING_FOR_APPROVED_COPY
28,bps1-sj1,SJ1,The Polymath,READY,"Warm, human, measured, slightly theatrical neural English voice",The Polymath. All Disciplines Converge. The polymath sees what specialists cannot — that all knowledge is one infrastructure.,/assets/audio/series-1/bps1-sj1.mp3,READY_FOR_NEURAL_TTS
29,bps1-sj2,SJ2,East-West Bridge,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice",East-West Bridge. The Knowledge Bridge. Infrastructure has no borders. The greatest advances came when East and West exchanged knowledge.,/assets/audio/series-1/bps1-sj2.mp3,WAITING_FOR_APPROVED_COPY
30,bps1-sj3,SJ3,The Living Library,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice",The Living Library. Knowledge Never Dies. Every book is a brick. Every scholar is a foundation. The library is the infrastructure of thought itself.,/assets/audio/series-1/bps1-sj3.mp3,WAITING_FOR_APPROVED_COPY
31,bps1-b01,B01,The Pyramid,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice",The Pyramid. Structural Engineering. 2.3 million blocks. Zero power tools. The pyramid is proof that infrastructure begins with geometry and will.,/assets/audio/series-1/bps1-b01.mp3,WAITING_FOR_APPROVED_COPY
32,bps1-b02,B02,The Aqueduct,HOLD,"Warm, human, measured, slightly theatrical neural English voice","The Aqueduct. Hydraulic Engineering. Water flows downhill. The Romans made it flow uphill, across valleys, and into cities 50 kilometres away.",/assets/audio/series-1/bps1-b02.mp3,WAITING_FOR_APPROVED_COPY
33,bps1-b03,B03,The Great Wall,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice","The Great Wall. Defensive Engineering. 21,000 kilometres of rammed earth, brick, and stone. The longest infrastructure project in human history.",/assets/audio/series-1/bps1-b03.mp3,WAITING_FOR_APPROVED_COPY
34,bps1-b04,B04,The Roman Road,READY,"Warm, human, measured, slightly theatrical neural English voice","The Roman Road. Transport Engineering. All roads lead to Rome because Rome built them all. 400,000 km of engineered highways that lasted two millennia.",/assets/audio/series-1/bps1-b04.mp3,READY_FOR_NEURAL_TTS
35,bps1-b05,B05,The Silk Road,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice","The Silk Road. Trade Infrastructure. Not one road but a network. The Silk Road was the first global supply chain — 4,000 miles of commerce and culture.",/assets/audio/series-1/bps1-b05.mp3,WAITING_FOR_APPROVED_COPY
36,bps1-b06,B06,The Canal Lock,HOLD,"Warm, human, measured, slightly theatrical neural English voice",The Canal Lock. Navigation Engineering. A simple box of water that conquers elevation. The canal lock made rivers navigable and trade inevitable.,/assets/audio/series-1/bps1-b06.mp3,WAITING_FOR_APPROVED_COPY
37,bps1-b07,B07,The Steam Engine,HOLD,"Warm, human, measured, slightly theatrical neural English voice",The Steam Engine. Power Engineering. Boil water. Move the world. The steam engine converted heat into motion and launched the Industrial Revolution.,/assets/audio/series-1/bps1-b07.mp3,WAITING_FOR_APPROVED_COPY
38,bps1-b08,B08,The Railway Bridge,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice","The Railway Bridge. Span Engineering. 54,000 tonnes of steel suspended by mathematics. The railway bridge proved that engineering could conquer any gap.",/assets/audio/series-1/bps1-b08.mp3,WAITING_FOR_APPROVED_COPY
39,bps1-b09,B09,The Power Grid,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice",The Power Grid. Distribution Engineering. The invisible infrastructure. The power grid delivers energy to 8 billion people through 70 million kilometres of wire.,/assets/audio/series-1/bps1-b09.mp3,WAITING_FOR_APPROVED_COPY
40,bps1-b10,B10,The Skyscraper,READY,"Warm, human, measured, slightly theatrical neural English voice","The Skyscraper. Vertical Engineering. When land runs out, build upward. The skyscraper turned steel frames into vertical cities.",/assets/audio/series-1/bps1-b10.mp3,READY_FOR_NEURAL_TTS
41,bps1-b11,B11,The Satellite,HOLD,"Warm, human, measured, slightly theatrical neural English voice","The Satellite. Orbital Engineering. Infrastructure left the planet. Satellites turned the sky into a highway for data, navigation, and observation.",/assets/audio/series-1/bps1-b11.mp3,WAITING_FOR_APPROVED_COPY
42,bps1-b12,B12,The Internet,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice","The Internet. Network Engineering. The infrastructure you cannot see. The internet is 550,000 miles of undersea cable connecting 5 billion minds.",/assets/audio/series-1/bps1-b12.mp3,WAITING_FOR_APPROVED_COPY
43,bps1-bj1,BJ1,The Master Plan,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice",The Master Plan. All Blueprints Converge. Every great work begins with a plan. The master plan sees all 12 blueprints as one system.,/assets/audio/series-1/bps1-bj1.mp3,WAITING_FOR_APPROVED_COPY
44,bps1-bj2,BJ2,Form & Function,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice",Form & Function. The Design Principle. Beauty is not decoration. It is the inevitable result of perfect engineering.,/assets/audio/series-1/bps1-bj2.mp3,WAITING_FOR_APPROVED_COPY
45,bps1-bj3,BJ3,The Unbuilt,HOLD,"Warm, human, measured, slightly theatrical neural English voice","The Unbuilt. Dreams on Paper. For every structure that stands, a thousand were imagined. The unbuilt is the infrastructure of possibility.",/assets/audio/series-1/bps1-bj3.mp3,WAITING_FOR_APPROVED_COPY
46,bps1-e01,E01,Stone Age,READY,"Warm, human, measured, slightly theatrical neural English voice","Stone Age. First Tools. Before infrastructure, there was survival. The first tool was the first act of engineering.",/assets/audio/series-1/bps1-e01.mp3,READY_FOR_NEURAL_TTS
47,bps1-e02,E02,Bronze Age,READY,"Warm, human, measured, slightly theatrical neural English voice","Bronze Age. First Cities. Bronze gave humanity cities, writing, and trade. The first civilisations were built on alloy and irrigation.",/assets/audio/series-1/bps1-e02.mp3,READY_FOR_NEURAL_TTS
48,bps1-e03,E03,Iron Age,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice","Iron Age. Empire Building. Iron built empires. Stronger tools meant stronger walls, longer roads, and larger armies.",/assets/audio/series-1/bps1-e03.mp3,WAITING_FOR_APPROVED_COPY
49,bps1-e04,E04,Classical Era,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice","Classical Era. Democracy & Philosophy. Greece proved that infrastructure is not just physical. Democracy, philosophy, and geometry are the foundations of civilisation.",/assets/audio/series-1/bps1-e04.mp3,WAITING_FOR_APPROVED_COPY
50,bps1-e05,E05,Silk Road Era,READY,"Warm, human, measured, slightly theatrical neural English voice","Silk Road Era. Global Trade. When trade routes opened, civilisation accelerated. The Silk Road era connected four empires and created the first global economy.",/assets/audio/series-1/bps1-e05.mp3,READY_FOR_NEURAL_TTS
51,bps1-e06,E06,Islamic Golden Age,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice","Islamic Golden Age. Knowledge Preservation. While Europe slept, Baghdad preserved and advanced all knowledge. Algebra, optics, and medicine flowed from the Islamic Golden Age.",/assets/audio/series-1/bps1-e06.mp3,WAITING_FOR_APPROVED_COPY
52,bps1-e07,E07,Renaissance,READY,"Warm, human, measured, slightly theatrical neural English voice",Renaissance. Rebirth of Knowledge. The Renaissance proved that art and engineering are the same discipline. Brunelleschi's dome was both a masterpiece and a structural miracle.,/assets/audio/series-1/bps1-e07.mp3,READY_FOR_NEURAL_TTS
53,bps1-e08,E08,Age of Exploration,READY,"Warm, human, measured, slightly theatrical neural English voice","Age of Exploration. Navigation & Discovery. Navigation infrastructure — ships, charts, ports — connected every continent and created the modern world.",/assets/audio/series-1/bps1-e08.mp3,READY_FOR_NEURAL_TTS
54,bps1-e09,E09,Industrial Revolution,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice","Industrial Revolution. Machine Power. Steam, steel, and railways. The Industrial Revolution compressed 10,000 years of progress into 100.",/assets/audio/series-1/bps1-e09.mp3,WAITING_FOR_APPROVED_COPY
55,bps1-e10,E10,Electrical Age,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice",Electrical Age. Power Distribution. Electricity made the invisible visible. Electricity made the invisible visible. The power grid became the nervous system of modern civilisation.,/assets/audio/series-1/bps1-e10.mp3,WAITING_FOR_APPROVED_COPY
56,bps1-e11,E11,Space Age,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice",Space Age. Beyond Earth. Infrastructure left the atmosphere. The Space Age proved that engineering has no ceiling.,/assets/audio/series-1/bps1-e11.mp3,WAITING_FOR_APPROVED_COPY
57,bps1-e12,E12,Digital Age,READY,"Warm, human, measured, slightly theatrical neural English voice","Digital Age. Information Infrastructure. The Digital Age turned information into infrastructure. Data flows faster than water, and code builds faster than concrete.",/assets/audio/series-1/bps1-e12.mp3,READY_FOR_NEURAL_TTS
58,bps1-ej1,EJ1,Timeline,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice",Timeline. All Epochs Connected. History is not a line. It is a spiral. Every epoch builds on the last and echoes the first.,/assets/audio/series-1/bps1-ej1.mp3,WAITING_FOR_APPROVED_COPY
59,bps1-ej2,EJ2,Collapse,CONDITIONAL,"Warm, human, measured, slightly theatrical neural English voice",Collapse. When Infrastructure Fails. Every civilisation that forgot its infrastructure fell. The collapse is the lesson that repeats until learned.,/assets/audio/series-1/bps1-ej2.mp3,WAITING_FOR_APPROVED_COPY
60,bps1-ej3,EJ3,Next Epoch,READY,"Warm, human, measured, slightly theatrical neural English voice",Next Epoch. What Comes After. The next epoch has no name yet. It will be defined by those who build it. The infrastructure of tomorrow begins today.,/assets/audio/series-1/bps1-ej3.mp3,READY_FOR_NEURAL_TTS
